[2026-04-28T14:33:54.824Z] [INFO] ✅ Database connected successfully 
[2026-04-29T18:44:46.581Z] [INFO] GET /api/customers?page=1 404 - 0ms 
[2026-04-29T18:44:47.597Z] [INFO] GET /api/customers?page=1 404 - 0ms 
[2026-04-29T18:44:47.640Z] [INFO] GET /api/reports/sales 404 - 2ms 
[2026-04-29T18:44:47.644Z] [INFO] GET /api/reports/kpis 404 - 1ms 
[2026-04-29T18:44:47.647Z] [INFO] GET /api/reports/sales 404 - 1ms 
[2026-04-29T18:44:48.651Z] [INFO] GET /api/reports/sales 404 - 1ms 
[2026-04-29T18:44:48.654Z] [INFO] GET /api/reports/kpis 404 - 1ms 
[2026-04-29T18:44:48.658Z] [INFO] GET /api/reports/sales 404 - 0ms 
[2026-04-29T18:45:52.200Z] [INFO] GET /api/reports/sales 404 - 1ms 
[2026-04-29T18:45:52.202Z] [INFO] GET /api/reports/sales 404 - 0ms 
[2026-04-29T18:45:52.205Z] [INFO] GET /api/reports/kpis 404 - 1ms 
[2026-04-29T18:45:53.302Z] [INFO] GET /api/reports/sales 404 - 1ms 
[2026-04-29T18:45:53.304Z] [INFO] GET /api/reports/kpis 404 - 1ms 
[2026-04-29T18:45:53.306Z] [INFO] GET /api/reports/sales 404 - 1ms 
[2026-04-29T18:45:55.309Z] [INFO] GET /api/reports/sales 404 - 0ms 
[2026-04-29T18:45:55.310Z] [INFO] GET /api/reports/kpis 404 - 0ms 
[2026-04-29T18:45:55.314Z] [INFO] GET /api/reports/sales 404 - 0ms 
[2026-04-29T18:45:59.339Z] [INFO] GET /api/reports/sales 404 - 1ms 
[2026-04-29T18:45:59.341Z] [INFO] GET /api/reports/kpis 404 - 1ms 
[2026-04-29T18:45:59.342Z] [INFO] GET /api/reports/sales 404 - 0ms 
[2026-04-29T18:46:03.055Z] [INFO] GET /api/customers?page=1 404 - 0ms 
[2026-04-29T18:46:03.719Z] [INFO] GET /api/reports/sales 404 - 0ms 
[2026-04-29T18:46:03.722Z] [INFO] GET /api/reports/kpis 404 - 1ms 
[2026-04-29T18:46:03.728Z] [INFO] GET /api/reports/sales 404 - 1ms 
[2026-04-29T18:46:04.730Z] [INFO] GET /api/reports/sales 404 - 0ms 
[2026-04-29T18:46:04.755Z] [INFO] GET /api/reports/sales 404 - 0ms 
[2026-04-29T18:46:04.759Z] [INFO] GET /api/reports/kpis 404 - 1ms 
[2026-04-29T18:46:06.735Z] [INFO] GET /api/reports/sales 404 - 0ms 
[2026-04-29T18:46:06.769Z] [INFO] GET /api/reports/sales 404 - 1ms 
[2026-04-29T18:46:06.770Z] [INFO] GET /api/reports/kpis 404 - 0ms 
[2026-04-29T18:46:16.188Z] [INFO] GET /api/reports/sales 404 - 0ms 
[2026-04-29T18:46:16.190Z] [INFO] GET /api/reports/kpis 404 - 0ms 
[2026-04-29T18:46:16.192Z] [INFO] GET /api/reports/sales 404 - 0ms 
[2026-04-29T18:46:54.489Z] [INFO] GET /api/reports/sales 404 - 0ms 
[2026-04-29T18:46:54.492Z] [INFO] GET /api/reports/kpis 404 - 1ms 
[2026-04-29T18:46:54.495Z] [INFO] GET /api/reports/sales 404 - 1ms 
[2026-04-29T18:47:00.618Z] [INFO] GET /api/reports/kpis 404 - 0ms 
[2026-04-29T18:47:00.620Z] [INFO] GET /api/reports/sales 404 - 1ms 
[2026-04-29T18:47:00.622Z] [INFO] GET /api/reports/sales 404 - 1ms 
[2026-04-29T18:47:16.074Z] [INFO] GET /api/reports/kpis 404 - 1ms 
[2026-04-29T18:47:16.076Z] [INFO] GET /api/reports/sales 404 - 0ms 
[2026-04-29T18:47:16.078Z] [INFO] GET /api/reports/sales 404 - 0ms 
[2026-04-29T18:47:17.375Z] [INFO] GET /api/customers?page=1 404 - 0ms 
[2026-04-29T18:48:10.244Z] [INFO] GET /api/reports/kpis 404 - 0ms 
[2026-04-29T18:48:10.246Z] [INFO] GET /api/reports/sales 404 - 0ms 
[2026-04-29T18:48:10.248Z] [INFO] GET /api/reports/sales 404 - 1ms 
[2026-04-29T18:49:28.912Z] [INFO] GET /api%22/reports/sales 404 - 0ms 
[2026-04-29T18:49:28.914Z] [INFO] GET /api%22/reports/kpis 404 - 0ms 
[2026-04-29T18:49:28.916Z] [INFO] GET /api%22/reports/sales 404 - 0ms 
[2026-04-29T18:49:30.432Z] [INFO] GET /api%22/reports/kpis 404 - 1ms 
[2026-04-29T18:49:30.436Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-29T18:49:30.439Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-29T18:49:31.830Z] [INFO] GET /api%22/customers?page=1 404 - 0ms 
[2026-04-29T18:49:32.848Z] [INFO] GET /api%22/customers?page=1 404 - 1ms 
[2026-04-29T18:49:32.914Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-29T18:49:32.917Z] [INFO] GET /api%22/reports/kpis 404 - 1ms 
[2026-04-29T18:49:32.920Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-29T18:49:33.927Z] [INFO] GET /api%22/reports/sales 404 - 0ms 
[2026-04-29T18:49:33.928Z] [INFO] GET /api%22/reports/kpis 404 - 0ms 
[2026-04-29T18:49:33.941Z] [INFO] GET /api%22/reports/sales 404 - 0ms 
[2026-04-29T18:49:35.937Z] [INFO] GET /api%22/reports/sales 404 - 0ms 
[2026-04-29T18:49:35.939Z] [INFO] GET /api%22/reports/kpis 404 - 1ms 
[2026-04-29T18:49:35.948Z] [INFO] GET /api%22/reports/sales 404 - 0ms 
[2026-04-29T18:49:39.972Z] [INFO] GET /api%22/reports/sales 404 - 0ms 
[2026-04-29T18:49:39.974Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-29T18:49:39.976Z] [INFO] GET /api%22/reports/kpis 404 - 1ms 
[2026-04-30T15:24:44.040Z] [INFO] ✅ Database connected successfully 
[2026-04-30T15:25:12.020Z] [INFO] GET /api%22/reports/sales 404 - 3ms 
[2026-04-30T15:25:12.022Z] [INFO] GET /api%22/reports/kpis 404 - 0ms 
[2026-04-30T15:25:12.025Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-30T15:25:13.039Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-30T15:25:13.041Z] [INFO] GET /api%22/reports/kpis 404 - 1ms 
[2026-04-30T15:25:13.043Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-30T15:25:15.117Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-30T15:25:15.122Z] [INFO] GET /api%22/reports/kpis 404 - 1ms 
[2026-04-30T15:25:15.124Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-30T15:25:17.007Z] [INFO] GET /api%22/customers?page=1 404 - 0ms 
[2026-04-30T15:25:18.018Z] [INFO] GET /api%22/customers?page=1 404 - 1ms 
[2026-04-30T15:25:18.915Z] [INFO] GET /api%22/products?page=1 404 - 0ms 
[2026-04-30T15:25:19.925Z] [INFO] GET /api%22/products?page=1 404 - 1ms 
[2026-04-30T15:25:20.078Z] [INFO] GET /api%22/reports/sales 404 - 0ms 
[2026-04-30T15:25:20.080Z] [INFO] GET /api%22/reports/kpis 404 - 1ms 
[2026-04-30T15:25:20.081Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-30T15:25:21.106Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-30T15:25:21.111Z] [INFO] GET /api%22/reports/kpis 404 - 1ms 
[2026-04-30T15:25:21.116Z] [INFO] GET /api%22/reports/sales 404 - 2ms 
[2026-04-30T15:25:23.120Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-30T15:25:23.121Z] [INFO] GET /api%22/reports/kpis 404 - 0ms 
[2026-04-30T15:25:23.127Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-30T15:25:27.138Z] [INFO] GET /api%22/reports/sales 404 - 0ms 
[2026-04-30T15:25:27.139Z] [INFO] GET /api%22/reports/kpis 404 - 0ms 
[2026-04-30T15:25:27.141Z] [INFO] GET /api%22/reports/sales 404 - 0ms 
[2026-04-30T15:26:51.675Z] [INFO] GET /api%22/reports/kpis 404 - 1ms 
[2026-04-30T15:26:51.678Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-30T15:26:51.682Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-30T15:26:52.707Z] [INFO] GET /api%22/reports/kpis 404 - 0ms 
[2026-04-30T15:26:52.710Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-30T15:26:52.712Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-30T15:27:00.455Z] [INFO] GET /api%22/reports/kpis 404 - 1ms 
[2026-04-30T15:27:00.650Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-30T15:27:00.653Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-30T15:27:04.465Z] [INFO] GET /api%22/reports/kpis 404 - 0ms 
[2026-04-30T15:27:04.660Z] [INFO] GET /api%22/reports/sales 404 - 0ms 
[2026-04-30T15:27:04.661Z] [INFO] GET /api%22/reports/sales 404 - 0ms 
[2026-04-30T15:27:47.221Z] [INFO] GET /api%22/reports/kpis 404 - 1ms 
[2026-04-30T15:27:47.224Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-30T15:27:47.227Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-30T15:27:48.240Z] [INFO] GET /api%22/reports/kpis 404 - 0ms 
[2026-04-30T15:27:48.242Z] [INFO] GET /api%22/reports/sales 404 - 1ms 
[2026-04-30T15:27:48.243Z] [INFO] GET /api%22/reports/sales 404 - 0ms 
[2026-04-30T15:27:52.090Z] [INFO] POST /api%22/auth/login 404 - 1ms 
[2026-04-30T15:29:36.765Z] [INFO] POST /api%22/auth/login 404 - 1ms 
[2026-04-30T15:31:54.247Z] [INFO] POST /api/auth/login 404 - 1ms 
[2026-04-30T15:32:01.954Z] [INFO] POST /api/auth/login 404 - 0ms 
[2026-04-30T15:32:26.450Z] [INFO] POST /api/auth/login 404 - 0ms 
[2026-04-30T15:34:05.042Z] [INFO] POST /api/auth/login 404 - 1ms 
[2026-04-30T15:36:47.231Z] [INFO] ✅ Database connected successfully 
[2026-04-30T15:40:19.907Z] [INFO] ✅ Database connected successfully 
[2026-04-30T15:40:25.027Z] [INFO] ✅ Database connected successfully 
[2026-04-30T15:40:27.838Z] [INFO] ✅ Database connected successfully 
[2026-04-30T15:40:30.371Z] [INFO] ✅ Database connected successfully 
[2026-04-30T15:41:01.496Z] [INFO] ✅ Database connected successfully 
[2026-04-30T15:41:59.585Z] [INFO] POST /api/auth/login 404 - 4ms 
[2026-04-30T15:43:13.223Z] [INFO] POST /api/v1/auth/login 200 - 740ms 
[2026-04-30T15:43:13.387Z] [INFO] GET /api/v1/reports/sales 200 - 42ms 
[2026-04-30T15:43:13.394Z] [INFO] GET /api/v1/reports/sales 200 - 4ms 
[2026-04-30T15:43:13.531Z] [INFO] GET /api/v1/reports/kpis 200 - 183ms 
[2026-04-30T15:43:15.681Z] [INFO] GET /api/v1/customers?page=1 200 - 86ms 
[2026-04-30T15:43:17.188Z] [INFO] GET /api/v1/products?page=1 200 - 141ms 
[2026-04-30T15:43:17.826Z] [INFO] GET /api/v1/orders?page=1&limit=20 200 - 3ms 
[2026-04-30T15:43:18.368Z] [INFO] GET /api/v1/inventory/movements 200 - 33ms 
[2026-04-30T15:43:18.403Z] [INFO] GET /api/v1/inventory 200 - 70ms 
[2026-04-30T15:43:18.554Z] [INFO] GET /api/v1/inventory/alerts/low-stock 200 - 217ms 
[2026-04-30T15:43:18.882Z] [INFO] GET /api/v1/pricing/price-lists 200 - 11ms 
[2026-04-30T15:43:18.884Z] [INFO] GET /api/v1/pricing/history 200 - 10ms 
[2026-04-30T15:43:19.297Z] [INFO] GET /api/v1/reports/sales 200 - 4ms 
[2026-04-30T15:43:19.300Z] [INFO] GET /api/v1/reports/inventory 200 - 5ms 
[2026-04-30T15:43:19.312Z] [INFO] GET /api/v1/reports/kpis 200 - 21ms 
[2026-05-05T15:30:15.872Z] [INFO] ✅ Database connected successfully 
[2026-05-05T15:31:24.842Z] [INFO] GET /api/v1/reports/sales 401 - 23ms 
[2026-05-05T15:32:12.546Z] [INFO] POST /api/v1/auth/login 200 - 966ms 
[2026-05-05T15:32:12.749Z] [INFO] GET /api/v1/reports/sales 200 - 60ms 
[2026-05-05T15:32:19.770Z] [INFO] GET /api/v1/customers?page=1 200 - 490ms 
[2026-05-05T15:34:57.606Z] [INFO] POST /api/v1/customers 400 - 7ms 
[2026-05-05T15:34:57.656Z] [INFO] POST /api/v1/customers 400 - 6ms 
[2026-05-05T15:35:35.643Z] [INFO] GET /api/v1/customers/11d8540e-51c9-4545-b87a-21a0bbc516c3 200 - 396ms 
[2026-05-05T15:51:46.514Z] [INFO] GET /api/v1/customers?page=1 200 - 257ms 
[2026-05-05T16:15:06.853Z] [INFO] GET /api/v1/customers?page=1 200 - 175ms 
[2026-05-05T16:18:26.091Z] [INFO] ✅ Database connected successfully 
[2026-05-05T16:18:45.063Z] [INFO] GET /api/v1/customers?page=1 200 - 248ms 
[2026-05-05T16:20:59.518Z] [INFO] ✅ Database connected successfully 
[2026-05-05T16:21:01.145Z] [INFO] ✅ Database connected successfully 
[2026-05-05T16:22:05.233Z] [INFO] ✅ Database connected successfully 
[2026-05-05T16:22:07.824Z] [INFO] ✅ Database connected successfully 
[2026-05-05T16:24:50.959Z] [INFO] GET /api/v1/customers?page=1 200 - 1210ms 
[2026-05-05T17:28:07.049Z] [INFO] GET /api/v1/customers?page=1 200 - 931ms 
[2026-05-05T17:28:11.602Z] [INFO] GET /api/v1/customers?page=1 200 - 77ms 
[2026-05-05T17:31:31.773Z] [INFO] GET /api/v1/customers/11d8540e-51c9-4545-b87a-21a0bbc516c3 200 - 276ms 
[2026-05-05T17:36:34.341Z] [INFO] GET /api/v1/reports/sales 200 - 154ms 
[2026-05-05T17:36:37.090Z] [INFO] GET /api/v1/customers?page=1 200 - 272ms 
[2026-05-05T17:36:39.876Z] [INFO] GET /api/v1/products?page=1 200 - 124ms 
[2026-05-05T17:36:42.469Z] [INFO] GET /api/v1/products/bdf9f3ed-8b8f-4f5e-b609-abb40773dca2 200 - 172ms 
[2026-05-05T17:37:21.977Z] [INFO] GET /api/v1/orders?page=1&limit=20 200 - 14ms 
[2026-05-05T17:37:41.786Z] [INFO] GET /api/v1/inventory 200 - 9ms 
[2026-05-05T17:37:41.843Z] [INFO] GET /api/v1/inventory/alerts/low-stock 200 - 8ms 
[2026-05-05T17:37:41.850Z] [INFO] GET /api/v1/inventory/movements 200 - 55ms 
[2026-05-05T17:37:44.850Z] [INFO] GET /api/v1/pricing/history 200 - 11ms 
[2026-05-05T17:37:44.963Z] [INFO] GET /api/v1/pricing/price-lists 200 - 128ms 
[2026-05-05T17:37:52.548Z] [INFO] GET /api/v1/reports/sales 200 - 7ms 
[2026-05-05T17:37:52.551Z] [INFO] GET /api/v1/reports/inventory 200 - 5ms 
[2026-05-05T17:37:52.588Z] [INFO] GET /api/v1/reports/kpis 200 - 45ms 
[2026-05-05T17:42:12.629Z] [INFO] GET /api/v1/pricing/price-lists 200 - 78ms 
[2026-05-05T17:42:12.798Z] [INFO] GET /api/v1/pricing/history 200 - 239ms 
[2026-05-05T17:42:29.435Z] [INFO] GET /api/v1/products?page=1 200 - 38ms 
[2026-05-05T17:42:33.379Z] [INFO] GET /api/v1/products/bdf9f3ed-8b8f-4f5e-b609-abb40773dca2 200 - 47ms 
[2026-05-05T17:42:51.350Z] [INFO] GET /api/v1/orders?page=1&limit=20 200 - 6ms 
[2026-05-05T17:43:17.213Z] [INFO] GET /api/v1/customers?page=1 200 - 10ms 
[2026-05-05T17:43:18.068Z] [INFO] GET /api/v1/customers/11d8540e-51c9-4545-b87a-21a0bbc516c3 200 - 8ms 
[2026-05-10T07:45:58.314Z] [INFO] ✅ Database connected successfully 
[2026-05-10T08:28:18.053Z] [INFO] GET /api/v1/reports/sales 401 - 340ms 
[2026-05-10T08:28:29.749Z] [INFO] POST /api/v1/auth/login 200 - 1955ms 
[2026-05-10T08:28:29.870Z] [INFO] GET /api/v1/reports/sales 200 - 71ms 
[2026-05-10T08:29:06.171Z] [INFO] GET /api/v1/customers?page=1 200 - 316ms 
[2026-05-10T08:32:30.497Z] [INFO] GET /api/v1/customers/11d8540e-51c9-4545-b87a-21a0bbc516c3 200 - 13ms 
[2026-05-10T08:36:19.915Z] [INFO] ✅ Database connected successfully 
[2026-05-10T08:38:50.356Z] [INFO] GET /api/v1/customers?page=1 200 - 102ms 
[2026-05-10T08:38:52.121Z] [INFO] GET /api/v1/customers?page=1 200 - 7ms 
[2026-05-10T08:38:59.723Z] [INFO] POST /api/v1/customers 400 - 9ms 
[2026-05-10T08:38:59.727Z] [INFO] POST /api/v1/customers 400 - 3ms 
[2026-05-10T08:39:04.632Z] [INFO] POST /api/v1/customers 400 - 3ms 
[2026-05-10T08:41:02.815Z] [INFO] GET /api/v1/customers?page=1 200 - 4ms 
[2026-05-10T08:41:11.485Z] [INFO] POST /api/v1/customers 400 - 3ms 
[2026-05-10T15:39:29.581Z] [INFO] GET /api/v1/customers?page=1 200 - 140ms 
[2026-05-10T15:46:56.276Z] [INFO] ✅ Database connected successfully 
